question,answer,correct_answer,context
"In one of the examples in the paper, the longer rule gave validated fact check over short rule. Does that hinder your intuition?",No. The paper does not deal with NIL,the longer rule gave a validated fact check over the short rule in some examples but it doesn't hinder our intuition.,"A number of approaches specifically look into whether LMs can generalize from examples requiring shorter reasoning chains (shown to them either as demonstration or as finetuning data) to examples requiring longer chains Anil et al. (2022); Tafjord et al. (2020). With our model, length generalization comes for free because the model learns the building blocks of solving the problem that are applied as many times as needed to solve the problem. Note that once a set of rules \mathcal{R}_{s} are selected, the algorithm proceeds in a depth-first manner (i.e. it exhaustively verifies one rule before going to the next rule). Therefore, if the algorithm can start with the rules that have a higher chance of succeeding at proving or disproving the goal, it can save computations and be less error prone. In this paper, we use a heuristic to rank the rules: we sort them based on their lengths with shorter rules being ranked higher.This heuristic is based on the intuition that shorter rules are likely to have fewer sub-goals in their antecedent. We leave more sophisticated ranking strategies as future work."
Does prediction of Unknown values have an influence on proved and disproved?,To avoid discontinuous shape and loss of discriminative structures,The prediction of Unknown values does not have an influence on proved and disproved.,"The results for Lambada and the baselines on the two ProofWriter datasets are provided in Figure 1, and PrOntoQA results are shown in Figure 2. From the results, we observe that Lambada significantly outperforms the other two baselines, especially on ProofWriter-PUD which contains Unknown labels (44\% relative improvement compared to CoT and 56\% compared to SI on Depth-5) as well as on the higher depths of PrOntoQA (37\% relative improvement compared to CoT and 113\% compared to SI on Depth-5). These results show the merit of Lambada for logical reasoning and also show that backward chaining (which is the backbone of reasoning in Lambada) may be a better choice compared to forward chaining (the backbone in SI). The results also reveal a short-coming of the CoT approach in dealing with Unknown labels, as, unlike the examples for which the label is Proved or Disproved, there is no natural chain of thought for the examples whose labels are Unknown."
Will doing batch calls use cached values?,"Deep highway networks have the ability to smoothly vary their behavior between that of a layer that simply passes its inputs through and a layer that performs a complex computation, whereas plain networks have a fixed behavior. This allows deep highway networks to avoid the degradation in performance that is typically seen in deep plain networks. Additionally, deep highway networks can be trained more easily and with a lower computational budget than plain networks, and they generalize well to unseen data",Yes batch calls uses cache values.,"During a proof, Lambada may be called multiple times with the same theory and goal; in Appendix A we explain how cycles and redundant computations can be avoided using a cache."
Will results be similar for 5 hops?,"The seven input pixel channels represent the following features:

1. Image intensity in YUV color space (3 channels)
2. Depth channel of the image
3. X, Y, and Z components of surface normals computed based on the depth channel","No , the result substantially gets better with 5 hops","We conduct experiments with ProofWriter Tafjord et al. (2020) and PrOntoQA Saparov and He (2022) which are challenging datasets for LM reasoning containing examples requiring proof chains of up to 5 hops in length, and (in the former case) examples where the goal can neither be proved nor disproved from the provided theory. On these datasets, we show that Lambada has substantially higher deductive accuracy, and is considerably more likely to generate valid reasoning chains compared to other techniques which find correct conclusions with spurious proof traces, while also being more query efficient than other LM-based modular reasoning approaches. Our results strongly indicate that future work on reasoning with LMs should incorporate backward chaining or goal-directed strategies."
How can you come to the intuition that shorter rules have smaller sub goals?,"Non-Maximal Suppression (NMS) is a step in the SSD object detection algorithm where the output bounding boxes and scores are filtered to retain only the most likely detections, based on a threshold value. This helps to reduce the number of false positives and improve the accuracy of the detections","If smaller LMs are utilised, then one may need to split the issue into sub-problems even more (e.g., further decomposing the one-to-many comparisons in the selection module) (e.g., further decomposing the one-to-many comparisons in the selection module)","We argue that the extent to which reasoning algorithms break the problem into sub-problem should be dependent on the scale and power of the LMs. If smaller LMs are used, then one may need to break the problem into sub-problems even further (e.g., further decomposing the one-to-many comparisons in the selection module). And as LMs become larger and stronger in the future, one could rely on them to solve problems even with a coarser-grained decomposition of the problem."
How is it better to decrease the depth by 1 over other values?,"An adversarial perturbation refers to a minimal perturbation of the data that is sufficient to change the estimated label of a classifier, and is used to study the robustness of the classifier to small, imperceptible changes in the data",Decreasing the depth by 1 requires fewer calls as compared to other values.,"Lambada and SI require multiple LM inference call per example. In Figure 5, we compare the two models with respect to the average number of inference calls they make to the LM per example, for the different depths of the ProofWriter-PUD dataset. We observe that Lambada requires significantly fewer inference calls, especially at higher depths. For example, for Depth-1, Lambada requires 3.8x fewer calls whereas for Depth-5 it requires 11.8x fewer calls."
"Are the results similar for other variants of values, given test set has only 1000 examples?","To maintain a small total number of parameters in a CNN, the authors use a mix of 1x1 and 3x3 filters in the expand layer of the Fire module, as described in Strategy 2 of Section 3.1. By using 1x1 filters, the number of input channels to the 3x3 filters is decreased, which helps to limit the total number of parameters in the layer","Yes, the results are similar for other variants of values.","For higher depths (3+), on the three datasets SI produces predictions that are close to the majority class prediction. We find that it tends to over-predict Disproved in the binary case and Unknown in the three-way classification case (cf. Appendix B.3), making it perform even worse than the majority class for Depth-5 of PrOntoQA which has more Proved labels than Disproved. However, we surprisingly observe that the performance of CoT remains relatively high for the ProofWriter-PD dataset, and the accuracy does not diminish. In the next sub-section, we verify the reason for this behaviour of CoT. For Fact Check, we randomly selected 100 examples from the Depth-0 examples.For Rule Selection, we randomly selected 100 examples and manually enumerated every rule whose consequent unifies with the goal. A model prediction is considered correct if it predicts all such rules correctly. For Goal Decomposition, we randomly selected 100 rules and goals such that the consequent of the rule unifies with the goal and then manually wrote the sub-goals. A model prediction is considered correct if it predicts all the sub-goals correctly. For Sign Agreement, we re-used the same examples from the Goal Decomposition module and manually labeled them with respect to their sign agreement/disagreement."
Doesn’t the possibility of having many rules make it ambiguous?,The range of the number of parameters for the models used in the study is from 5 thousand to 160 million,"No, the possibility of having many rules does not make it ambiguous.","In the case where we succeed in proving the antecedent of r, whether the goal is proved or disproved depends on whether the sign of the goal agrees or disagrees with the sign of the consequent of r. For instance, in Example 2, for the goal ‘‘Fiona is red?’’, since the sign of the goal agreed with the sign of the consequent of the second rule and the antecedent of the rule was proved, we concluded that the goal is proved. However, if the second rule was ‘‘Rough, nice people are not red.’’, then the sign of the goal would disagree with the sign of the consequent and so we would conclude that the goal is disproved. This motivates the fourth module, Sign Agreement, described next. The above results show that the Rule Selection and Goal Decomposition modules are responsible for the majority of the failure cases. Note that it is possible that the Rule Selection module fails for some examples but Lambada still arrives at the correct conclusion and proof. For the theory and goal in Example 1, for example, if there was another rule whose consequent was ‘‘being red’’ and the Rule Selection module failed to select that rule, Lambada would still arrive at the correct proof and prediction."
"Given the triggered sentences, how can this problem be rectified?","Sure! Here's the answer to your question based on the provided context:

To reduce computational cost.

Inception-v4's use of average pooling instead of max pooling in its inception module is a deliberate design choice aimed at reducing computational cost. By using average pooling, the model can capture local features more efficiently and with less computational overhead, which is particularly important in the early stages of the network","The triggered sentence is ""One solution to the aforementioned problems is to integrate the strength and reliability of classical AI models in logical reasoning with LMs Garcez and Lamb "".","One solution to the aforementioned problems is to integrate the strength and reliability of classical AI models in logical reasoning with LMs Garcez and Lamb (2020); Marcus (2020).In the classic literature, there are two major approaches to logical reasoning Poole and Mackworth (2010):1.Forward Chaining (FC) where one starts from the facts and rules (“theory”), and iterates between making new inferences and adding them to the theory until the goal statement can be proved or disproved,2.Backward Chaining (BC) where one starts from the goal and recursively decomposes it into sub-goals until the sub-goals can be proved or disproved based on the facts.Previous approaches to reasoning with LMs mostly incorporate elements of FC into LMs Tafjord et al. (2020); Creswell et al. (2022). FC requires selecting a subset of facts and rules from the entire set which might be difficult for an LM as it requires a combinatorial search over a large space.Moreover, deciding when to halt and declare failure to prove is challenging in FC Creswell et al. (2022), sometimes requiring specialized modules trained on intermediate labels Creswell and Shanahan (2022). Indeed, the classic automated reasoning literature is heavily weighted towards BC or goal-directed strategies for proof-finding."
Doesn’t breaking the problem into sub problems increase computation?,Truncated SVD,"Yes, breaking the problem into sub-problems increases computation.","These approaches break the problem into smaller modules and use separate LMs to solve each module Zhou et al. (2022b); Khot et al. (2022); Sprague et al. (2022); Zhou et al. (2022a).Most relevant to our work,in Tafjord et al. (2020), a single LM module iteratively and exhaustively derives all conclusions based on the facts and rules, and then the goal statement is checked against the final set of conclusions to confirm if it can be proved from the theory. Since exhaustively deriving all conclusions is computationally expensive, Creswell et al. (2022) consider an alternative approach with two modules: 1- selection, which, guided by the goal, selects a subset of the facts and rules from which new conclusions can be derived toward proving the goal, and 2- inference, which takes the selected facts and rules and derives a new conclusion. The two modules are called iteratively until a halting criterion is met. In this paper, we compare against the second approach."
