question,iris_answer,correct_answer,context
"Key signature may be helpful to constrain harmonic context. Then, wouldn't it be more valid to conduct an ablation study on chord coherence rather than harmonic similarity?","Not necessarily. While chord coherence is an important aspect of harmonic structure, it is not the only factor that is affected by the presence of key signature information. Harmonic similarity, which is measured by the similarity between the ground truth and generated chords, is also influenced by the presence of key signature information. By comparing the results of the ablation study with and without key signature information, we can determine the specific impact of key signature information on both chord coherence and harmonic similarity",It is valid enough to conduct an ablation study on harmonic similarity because constraining the harmonic context fundamentally aims to improve the chord structuredness and reconstruction performance. Constraining the harmonic context with the key signature can help the model specify the latent space and increase the probability to generate the right chord sequence that is close to the human-composed data which is well-structured.,"We conduct an ablation study to verify the beneﬁt of adding the conditional token c to VTHarm and rVTHarm. We assume that c provides key signature information that can efﬁciently constrain the latent space to a concrete harmonic context, improving the chord structuredness and reconstruction per- formance of the model. We compute the chord similarity metrics between the ground truth and generated chords from the VT models according to the presence of c . The results are demonstrated in Table 7. This table shows that the VT models without c mostly obtain worse scores for all similarity metrics than the models with c . This indicates that adding key signature information to the VT models in most cases not only enhances the one-by-one accuracy but also improves the structure of the generated chords to be more human-like. The proposed architecture of VTHarm is inspired by [22]. VTHarm has an additional probabilistic encoder for a latent variable z, where z represents the global attribute of the aggregated melody and chords. We denote this encoder as"
What would be an example of the methods that explore the effect of melody awareness?,"The methods that explore the effect of melody awareness include computing Pearson's correlation coefficient of U with C or P scores, as shown in Table 6",The method for exploring the effect of melody awareness can be one that deeply investigates how the awareness of the melody can affect the unexpectedness of the controlled chords and how this unexpectedness affects the perceived complexity and preference of the chords.,"When the melody is unaware, BLSTM and rVTHarm obtain signiﬁcantly lower Preference scores than when the melody is aware ( p < 0 . 001). We further compute Pearson’s correlation coefﬁcient of U with C or P scores, as shown in Table 6. As a result, rVTHarm reveals the most nega- tive correlation of U with both C and P scores when the melody is aware. This indicates that 1) controlled chords are more unexpected and unpleasant with a familiar melody, and 2) some factors other than complexity seem to cause an increased unexpectedness in rVTHarm. However, the mean preference score of rVTHarm signiﬁcantly increases with melody awareness. This implies that the familiarity of the melody may strongly compensate for the high unexpect- edness of rVTHarm. This tendency needs further investi- gation to improve the robustness of controllable melody harmonization."
"What are some examples of ""explicit planning""?",Explicit planning examples include controlling tempo or timing with a latent representation and elastically choosing various strategies to highlight multiple nuances or emotions in piano performances,"An example of ""explicit planning"" would be the plan or strategy of abruptly increasing dynamics for performing a climax within the music to highlight a certain emotion such as anger.","However, these studies have constrained musical creativity. Maezawa et al. controlled musical expression only through quantized features from the musical scores. Tan et al. did not consider controlling tempo or timing with a latent representation. These methods may have restricted any potential for rendering piano performances with flexible musical expression. Musical creativity can be expanded not only by composers but also by performers who can elastically choose various strategies to highlight multiple nuances or emotions [13, 14, 15]. Moreover, the music generation field can be also broadened if static music created by automatic composition systems can be easily colored with realistic and elastic expression [16]."
What is the difference between IsTopVoice and PositionInChord?,"IsTopVoice is a binary attribute of whether the note is the uppermost voice, while PositionInChord is a 11-class attribute of a positional index of a note within its chord",IsTopVoice is different from PositionInChord in that an index 1 of IsTopVoice represents the uppermost voice while that of PositionInChord represents the lowermost voice. They are also different that IsTopVoice is binary while PositionInChord is multi-class.,"Score Features. The features for a musical score represent eight categorical attributes for how the notes are composed:Pitch is a MIDI index number that ranges from 21 to 108.RelDuration and RelIOI are 11-class attributes of a quantized duration and IOI between a note onset and a previous chord, respectively. They range from 1 to 11, and each class represents a multiple of a 16th note’s length with respect to a given tempo [30, 31].IsTopVoice is a binary attribute of whether the note is the uppermost voice. It is heuristically computed regarding pitches and durations of surrounding notes.PositionInChord and NumInChord are 11-class attributes of a positional index of a note within its chord and the total number of notes in that chord, respectively, that range from 1 to 11. An index 1 for PositionInChord denotes the most bottom position.Staff is a binary attribute of the staff of a note, either of the G clef or F clef.IsDownbeat is a binary attribute of whether a note is at a downbeat or not."
"Why didn't the authors intend a ""chord"" to represent a more meaningful unit in music, such as a beat?","The authors did not intend for a ""chord"" to represent a more meaningful unit in music, such as a beat, because they aimed to model the polyphonic structure of piano performance at a more granular level, focusing on the simultaneous notes that make up a chord, rather than the larger rhythmic units of beats","The authors intend a ""chord"" to represent simultaneous notes to intuitively models a polyphonic structure of piano performance that is defined by its temporal progression. More fine-grained resolution than the beat-based resolution can reflect trivial changes in expression that varies by simultaneous note groups, such as a syncopation.","We employ a self-supervised learning framework to force the latent representations to learn our target attributes [25, 26, 24].In addition, we facilitate independent control of the three expressive attributes–dynamics, articulation, and tempo–by utilizing an existing method that aligns the latent code with a target attribute [27, 28]. Finally, we design a novel mechanism that intuitively models a polyphonic structure of piano performance. In particular, we insert intermediate steps for chordwise encoding and decoding of the piano performance to our encoder-decoder architecture, where a chord denotes a group of simultaneous notes. Our approach has several contributions as follows:1) Our system aims to control musical expression while maintaining any characteristics induced by a given musical structure;2) We use self-supervised learning where new supervisory signals are involved in regularizing the latent representations effectively;3) Our system aims to control multiple expressive attributes independently of each other;4) Lastly, we leverage an intermediate step that projects a notewise representation into the chordwise in the middle of our system to intuitively model the polyphonic structure of piano performance. Inspired by previous studies [4, 8, 9, 32], we build a twostep encoder and decoder: An encoder models both notewise and chordwise dependencies of the inputs, and a decoder reconstructs the notewise dependency from the chordwise representation and the notewise condition. We denote a chord as a group of notes that are hit simultaneously, regardless of the staff, so that they sound together at an instant time [33]. Thus, learning the chordwise dependency is analogous to direct modeling of the temporal progression of the piano performance. Let M 2 RC N be a matrix that aligns serialized notes to their polyphonic structure, where C and N are the number of chords and the number of notes, respectively. Within the encoder, the"
Is there no temporal dependency between the latent variable for explicit planning?,Yes,The latent variable for explicit planning has no temporal dependency. The latent variable is derived from the standard normal distribution without the dependency on the score features.,"Inference. A probabilistic encoder parameterized by \phi approximates the posterior distibutions of the latent representations z^{(\text{pln})} and z^{(\text{str})} from the performance input x and conditional score input y:\displaystyle q_{\phi}(z^{(\text{pln})},z^{(\text{str})}|x,y)=\displaystyle q_{\phi}(z^{(\text{pln})}|x^{(\text{chd})})(3)\displaystyle\prod_{c=1}^{C}q_{\phi}(z^{(\text{str})}_{c}|x^{(\text{chd})}_{\leq c},y^{(\text{chd})}_{\leq c})where x^{(\text{chd})}=\text{N2C}(e_{x}) is the chordwise embedding, and e_{x} is the notewise embedding for x. The posterior distributions of z^{(\text{pln})}_{c} and z^{(\text{str})}_{c} are approximated by distribution parameters encoded by f^{(\text{pln})}(x^{(\text{chd})}) and f^{(\text{str})}(x^{(\text{chd})},y^{(\text{chd})}), where f^{(\text{pln})} and f^{(\text{str})} are bidirectional and unidirectional recurrent neural networks, respectively.We note that z^{(\text{pln})} is independent of the score features y. This allows a flexible transfer of the explicit planning among other musical pieces. On the other hand, z^{(\text{str})} is constrained by y since the structural attributes are dependent on the note structure. Our system can render new piano performances from the scratch given a musical score. It can directly generate expressive parameters from the randomly sampled \tilde{z}^{(\text{pln})}\sim p_{\theta}(z^{(\text{pln})}) and \tilde{z}^{(\text{str})}\sim p_{\theta}(z^{(\text{str})}). We note that \tilde{z}^{(\text{pln})} does not have temporal dependency: each \tilde{z}^{(\text{pln})}_{c} is sampled independently of \tilde{z}^{(\text{pln})}_{c-1}. Hence, we need to insert specific values \{\alpha^{(c)}\}_{c=1}^{C}, which we call as ""smooth sketches"", into the target dimensions of z^{(\text{pln})} if any temporal dependency of explicit planning is necessary. Figure 2 shows that the controlled parameters are greatly correlated with \alpha, while their local characteristics follow those of the ground truth. In addition, the black and orange lines together demonstrate granular variety in the parameters induced by different \tilde{z}^{(\text{str})} for the same musical structure. Moreover, Figure 3 shows that our system can estimate explicit planning from arbitrary human performances, indicating that our system can derive relevant information on explicit planning from the unseen data. where y(chd) = N2C(ey) is the chordwise embedding, and ey is the notewise embedding for y. We assume that the prior of z(pln) c is a standard normal distribution. In contrast, z(str) c is sampled from a sequential prior [24, 36, 37], conditioned on both previous latent variables and chordwise score features: z(str) c   N( (prior); diag( (prior)2), where [ (prior);  (prior)] = f(prior)(z(str)"
Why did the authors use a polynomial function to extract explicit planning of the performance data?,To capture the smooth and continuous nature of expressive parameters,"The authors use a polynomial function to extract explicit planning as explicit planning is defined to be a high-level sketch that the performer draws as the bigger plan of progressing musical expression throughout the piece. Such a sketch is assumed to be ""smoothed"" since it would derive from human thought that memorizes or imagines musical expression that can be also represented as an aural form by  ""singing out"" the musical progression.","Prediction Tasks. We extract new supervisory signals for additional prediction tasks from the input data [24]. We define a signal of explicit planning I^{(\text{pln})} as a set of smoothed contours of the expressive parameters. It is extracted as a polynomial function predicted from the chordwise performance parameters k. We also derive a signal of structural attribute as I^{(\text{str})}=\text{sign}(k-I^{(\text{pln})}) which represents normalized directions of the performance parameters.We train two discriminators D^{(\text{pln})} and D^{(\text{str})} that directly receive z^{(\text{pln})} and z^{(\text{str})}, respectively. D^{(\text{pln})} is composed of A sub-discriminators where each discriminator D^{(\text{pln})}_{a} predicts a signal I^{(\text{pln})}_{a} for each expressive attribute a from z^{(\text{pln})}_{a}\in\mathbb{R}^{C\times(d^{(\text{pln})}/A)}, where z^{(\text{pln})}_{a} is a constituent part of z^{(\text{pln})}, and A is the number of expressive attributes. This setting is for a clear disentanglement among the expressive attributes. On the other hand, D^{(\text{str})} predicts the signal I^{(\text{str})} at once for all expressive attributes that belong to the same musical structure. All discriminators are jointly trained with the generative model, and the costs \mathcal{L}_{\text{pln}} and \mathcal{L}_{\text{str}} are minimized as \mathcal{L}_{\text{pln}}=\frac{1}{A}\sum_{a}\text{MSE}(D^{(\text{pln})}_{a}(z^{(\text{pln})}_{a}),I^{(\text{pln})}_{a}) and \mathcal{L}_{\text{str}}=\text{MSE}(D^{(\text{str})}(z^{(\text{str})}),I^{(\text{str})}), respectively. Therefore, we attempt a new approach that renders piano performances with flexible musical expressions. We disregard a typical assumption from previous studies that a performer must follow a composer’s intent [17, 18, 19, 4]. According to the literature, performers learn to identify or imitate ""expressive models"", or explicit planning, of existing piano performances [20]. We focus on this attribute, defining it as a higher-level sketch of the expressive attributes (i.e. dynamics, articulation, and tempo [21]) that the performer draws based on a personal interpretation of the musical piece [20, 4, 11]. We also assume that the remaining attribute represents common performing strategies that are connected to certain musical patterns, while these strategies slightly differ across performers [22, 23]. We call this attribute as a structural attribute that belongs to given note structures of a musical piece."
Why did the authors use only one composer rather than several composers together?,"Sure! Here's the answer to your question based on the provided context:

To ensure representativeness of the training data.

The authors chose to use only one composer (Chopin) for their training data to ensure that the model is exposed to a representative range of Western musical expression, as Chopin's works are considered to be a benchmark for Western classical music. By using a single composer, the authors could ensure that the model is trained on a consistent style and aesthetic, which would make it more difficult to generalize to other composers and styles","The authors use only one composer, Chopin, rather than several composers together because Chopin's music has been one of the most common resources that are analyzed by literature to investigate the development in Western musical expression with respect to various musical structures. In other words, modeling music only from Chopin is assumed to be enough for learning Western musical expression derived from various musical patterns.","We use Yamaha e-Competition Dataset [8] and Vienna 4x22 Piano Corpus [40]. From these datasets, we collect 356 performances of 34 pieces by Frédéric Chopin, which have been representative research subjects for analyzing the Western musical expression [22, 41, 6, 42]. We use 30 pieces (108,738 batches) for training and the rest for testing. To verify the generality of model performances, we also collect the external dataset from ASAP dataset [43]. We use 116 performances for 23 pieces by 10 composers who represent various eras of Western music. For subjective evaluation, we collect 42 songs of non-Classical songs from online source222http://www.ambrosepianotabs.com/page/library which are less constrained to written expression than most Classical excerpts."
Why didn't the authors use the previous studies mentioned in the Introduction section as baseline models?,"The authors did not use previous studies as baseline models because they wanted to focus on flexible musical expressions and personal interpretation, rather than following a composer's intent or imitating existing performances",The authors did not use the previous studies as the baseline models since the proposed work attempts a new approach that disregards a typical assumption from the previous studies. There has been no identical assumption in the previous studies that musical expression can vary regardless of the written expression provided by the composers.,"Therefore, we attempt a new approach that renders piano performances with flexible musical expressions. We disregard a typical assumption from previous studies that a performer must follow a composer’s intent [4, 17–19]. According to the literature, performers learn to identify or imitate ""expressive models"", or explicit planning, of existing piano performances [20]. We focus on this attribute, defining it as a higher-level sketch of the expressive attributes (i.e. dynamics, articulation, and tempo [21]) that the performer draws based on a personal interpretation of the musical piece [4, 11, 20]. We also assume that the remaining attribute represents common performing strategies that are connected to certain musical patterns, while these strategies slightly differ across performers [22, 23]. We call this attribute as a structural attribute that belongs to given note structures of a musical piece."
What is the reason for using the reconstruction metric calculated from zero explicit planning?,To measure the structural attribute,"The reconstruction metric that measures the performance for predicting the structure attribute is calculated from zero explicit planning. The reason is that using a flat expression derived by the zero explicit planning can let the generated structural attribute be solely exposed, not mixed with any musical expression.","We verify whether the latent representations are well-disentangled by appropriate information[24]. To this end, each model infers the latent representations z^{(\text{pln})} and z^{(\text{str})} from the test sets. Each model also randomly samples \tilde{z}^{(\text{str})} and infers z^{(\text{pln})}_{0}\sim q_{\phi}(z^{(\text{pln})}|x_{0}). We use z^{(\text{pln})}_{0} to measure the structural attribute, since z^{(\text{pln})}_{0} represents a flat expression where the structural attribute can be solely exposed. Each model generates new outputs as x^{(\text{pln})}\sim p_{\theta}(x^{(\text{pln})}|z^{(\text{pln})},\tilde{z}^{(\text{str})},y) and x^{(\text{str})}\sim p_{\theta}(x^{(\text{str})}|z^{(\text{pln})}_{0},z^{(\text{str})},y). Then, we compute a new signal \tilde{I}^{(\text{pln})} from x^{(\text{pln})} using the polynomial regression. The MSE values are calculated as \text{MSE}_{\text{p}}=\text{MSE}(\tilde{I}^{(\text{pln})},I^{(\text{pln})}) and \text{MSE}_{\text{s}}=\text{MSE}(x^{(\text{str})},k-I^{(\text{pln})})."
