question,iris_answer,correct_answer,context
How are the results of the input-first and output-first approach different?,"The results of the input-first and output-first approaches are different in terms of the bias towards one label in the generated inputs. The input-first approach can generate inputs biased towards one label, especially for classification tasks, while the output-first approach generates possible class labels and conditions the input generation on each class label, reducing this bias","If by results, you are referring to the outputs of these approaches, then the final output will look very similar - the output for each instance will consist of a tuple of an (input, output) where input and output follow the instructions for a certain task. However, the order in which this output is generated will differ -- for example, in ""input first"" approach, the input is generated first, while in the output first case, the language model is conditioned to provide the required output. On the other hand, if, by results, you are referring to ""performance"" of both of these approaches, the authors mention that the input first approach performs very poorly on classification instances, which is why they proposed the alternative approach of output-first generation for classification tasks.","Because we need two different approaches for classification and non-classification tasks, we next identify whether the generated instruction represents a classification task or not.333More concretely, we regard tasks that have a limited and small output label space as classification tasks.We prompt vanilla GPT3 few-shot to determine this, using 12 classification instructions and 19 non-classification instructions from the seed tasks. The prompting template is shown in Table 7. Given the instructions and their task type, we generate instances for each instruction independently. This is challenging because it requires the model to understand what the target task is, based on the instruction, figure out what additional input fields are needed and generate them, and finally complete the task by producing the output. We found that pretrained language models can achieve this to a large extent when prompted with instruction-input-output in-context examples from other tasks.A natural way to do this is the Input-first Approach, where we can ask a language model to come up with the input fields first based on the instruction, and then produce the corresponding output. This generation order is similar to how models are used to respond to instruction and input, but here with in-context examples from other tasks. The prompting template is shown in Table 8. However, we found that this approach can generate inputs biased toward one label, especially for classification tasks (e.g., for grammar error detection, it usually generates grammatical input). Therefore, we additionally propose anOutput-first Approach for classification tasks, where we first generate the possible class labels, and then condition the input generation on each class label. The prompting template is shown in Table 9.444In this work, we use a fixed set of seed tasks for prompting the instance generation, and thus only generate a small number of instances per task in one round. Future work can use randomly sampled tasks to prompt the model to generate a larger number of instances in multiple rounds. We apply the output-first approach to the classification tasks identified in the former step, and the input-first approach to the remaining non-classification tasks."
Who were the authors of the instructions?,The authors of the instructions were the authors of the paper,"The authors of the paper created the first set of 175 instructions themselves. After that, they used an iterative bootstrapping process in which they used GPT3 to create more tasks (and instructions). In the end, they ended up with a dataset of 52k instructions.","The instruction data we want to generate contains a set of instructions \{I_{t}\}, each of which defines a task t in natural language. Each task has one or more input-output instances (X_{t},Y_{t}).A model M is expected to produce the output y, given the task instruction I_{t} and the instance input x: M(I_{t},x)=y,\;\mbox{for}\ (x,y)\in(X_{t},Y_{t}).Note that the instruction and instance input does not have a strict boundary in many cases. For example, “write an essay about school safety” can be a valid instruction that we expect models to respond to directly, while it can also be formulated as “write an essay about the following topic” as the instruction, and “school safety” as an instance input. To encourage the diversity of the data format, we allow such instructions that do not require additional input (i.e., x is empty). Self-Instruct is based on a finding that large pretrained language models can be prompted to generate new and novel instructions when presented with some existing instructions in the context. This provides us with a way to grow the instruction data from a small set of seed human-written instructions.We propose to generate a diverse set of instructions in a bootstrapping fashion. We initiate the task pool with 175 tasks (1 instruction and 1 instance for each task) written by our authors. For every step, we sample 8 task instructions from this pool as in-context examples.Of the 8 instructions, 6 are from the human-written tasks,and 2 are from the model-generated tasks in previous steps to promote diversity.The prompting template is shown in Table 6. So far, we have shown the quantity and diversity of the generated data, but its quality remains uncertain. To investigate this, we randomly sample 200 instructions and randomly select 1 instance per instruction. We asked an expert annotator (co-author of this work) to label whether each instance is correct or not, in terms of the instruction, the instance input, and the instance output.Evaluation results in Table 2 show that most of the generated instructions are meaningful, while the generated instances may contain more noise (to a reasonable extent). However, we found that even though the generations may contain errors, most of them are still in the correct format or even partially correct, which can provide useful guidance for training models to follow instructions. We listed a number of good generations and bad generations in Table 10 and Table 11 respectively. In summary, our contributions are: (1) Self-Instruct, a method for inducing instruction-following capabilitywith minimal human-labeled data;(2) We demonstrate its effectiveness via extensive instruction-tuning experiments;(3) We release a large synthetic dataset of 52K instructions and a set of manually-written novel tasks for building and evaluating future instruction-following models."
"How did the authors judge that the generated instructions were ""meaningful""?","The authors judged the generated instructions as ""meaningful"" based on expert annotation, where an expert annotator labeled each instance as correct or not in terms of the instruction, input, and output","The authors judged a generated instruction as meaningful by seeing if it described a valid task. Out of the 200 randomly sampled instructions, they found 92% of them described a valid task.","So far, we have shown the quantity and diversity of the generated data, but its quality remains uncertain. To investigate this, we randomly sample 200 instructions and randomly select 1 instance per instruction. We asked an expert annotator (co-author of this work) to label whether each instance is correct or not, in terms of the instruction, the instance input, and the instance output.Evaluation results in Table 2 show that most of the generated instructions are meaningful, while the generated instances may contain more noise (to a reasonable extent). However, we found that even though the generations may contain errors, most of them are still in the correct format or even partially correct, which can provide useful guidance for training models to follow instructions. We listed a number of good generations and bad generations in Table 10 and Table 11 respectively."
Why are the gains of instruction-tuning higher for larger models?,"Sure! Here's the answer to your question based on the provided context:

Because larger models have more capacity to learn from human annotations, resulting in greater improvements in performance through instruction-tuning","The authors theorize that their approach probably works better for larger models due to it's dependence on language models' inductive biases, but they offer no extra explanation or detail to clarify or explain their stance.","Because of Self-Instruct’s dependence on the inductive biases extracted from LMs, it might work best for larger models.If true, this may create barriers to access for those who may not have large computing resources.We hope future studies will carefully study the gains as a function of model size or various other parameters.It is worthwhile to note that instruction-tuning with human annotation also suffers from a similar limitation: gains of instruction-tuning are higher for larger model Wei et al. (2022)."
How did they finetune GPT3?,"They finetuned GPT3 using the OpenAI finetuning API with default hyperparameters, except for setting the prompt loss weight to 0, and training for 2 epochs","The authors fine-tuned the GPT3 model via an OpenAI API. The model, which is also called ""da vinci"", was dine-tuned by the authors for 2 epochs with a prompt loss weight set to zero.","In this section, we apply our method for inducing instruction data to GPT3 as a case study. We use the largest GPT3 language model (“davinci” engine) accessed through the OpenAI API555https://openai.com/api/. The parameters for making queries are described in Appendix A.1. Here we present an overview of the generated data. With the instruction-generated instruction data, we conduct instruction tuning for the GPT3 model itself (the “davinci” engine). As we described in §3.3, we use various templates to concatenate the instruction and input, and train the model to generate the output. This finetuning is done through the OpenAI finetuning API777https://beta.openai.com/docs/guides/fine-tuning. We use the default hyper-parameters, except that we set the prompt loss weight to 0, and we train the model for 2 epochs. We refer the readers to Appendix A.2 for additional finetuning details. The resulting model is denoted as GPT3{}_{\textsc{Self-Inst}}."
What if one of the generated questions was poor in quality? Wouldn't this result in errors being propagated through the dataset to generate a high number of low quality instructions?,"Yes, it is possible that poor-quality generated questions could result in errors being propagated through the dataset and generating a high number of low-quality instructions","Yes, if one of the generated examples is of poor quality, it is possible that this error could propogate through the dataset leading to a high number of erroneous or low-quality instructions. However, the authors do evaluate and compare the quality of generated samples and find that most samples are of high quality. Even out of those samples that are not fully correct, most of them are atleast partly correct. However, this is a concern with iterative algorithms such as this, a problem probably noted by the authors as an open research question.","Self-Instruct is based on a finding that large pretrained language models can be prompted to generate new and novel instructions when presented with some existing instructions in the context. This provides us with a way to grow the instruction data from a small set of seed human-written instructions.We propose to generate a diverse set of instructions in a bootstrapping fashion. We initiate the task pool with 175 tasks (1 instruction and 1 instance for each task) written by our authors. For every step, we sample 8 task instructions from this pool as in-context examples.Of the 8 instructions, 6 are from the human-written tasks,and 2 are from the model-generated tasks in previous steps to promote diversity.The prompting template is shown in Table 6. So far, we have shown the quantity and diversity of the generated data, but its quality remains uncertain. To investigate this, we randomly sample 200 instructions and randomly select 1 instance per instruction. We asked an expert annotator (co-author of this work) to label whether each instance is correct or not, in terms of the instruction, the instance input, and the instance output.Evaluation results in Table 2 show that most of the generated instructions are meaningful, while the generated instances may contain more noise (to a reasonable extent). However, we found that even though the generations may contain errors, most of them are still in the correct format or even partially correct, which can provide useful guidance for training models to follow instructions. We listed a number of good generations and bad generations in Table 10 and Table 11 respectively. A point of concern for the authors is the unintended consequences of this iterative algorithm, such as the amplification of problematic social biases (stereotypes or slurs about genders, races, etc.).Relatedly, one observed challenge in this process is the algorithm’s difficulty in producing balanced labels, which reflected models’ prior biases.We hope future work will hash out such details to better understand the pros and cons of the approach."
"Why do the authors claim that human feedback may be less important when their experiments showed that InstructGPT, which had human-generated data, outperformed their model without human-generated data?","The authors claim that human feedback may be less important because their model, GPT3{}_{\textsc{Self-Inst}}, outperformed the original GPT3 model without human-generated data, despite the fact that InstructGPT, which had human-generated data, outperformed GPT3{}_{\textsc{Self-Inst}} on some tasks. The authors suggest that this suggests that the LMs are already familiar with language instructions from their pre-training and that human feedback may not be as crucial for instruction-tuning as previously thought","The authors claim that human feedback might not be essential since their model is able to almost meet the performance of InstructGPT despite not having access to private human-generated training data or manual annotations. They claim that their model's success, of almost reaching InstructGPT performance with only a 5% gap is a strong indication that human data, while useful is not necessarily essential for teaching models how to follow instructions. Additionally, they point out that their work is merely a beginning step in research in this field - while numerous studies have successfully used human annotations to improve performance, studies that attempt to remove the human requirement have not been as explored. Also, the authors do acknowledge that the truth is somewhere in between the two extremes of (1) human instructional data is essential, or (2) such data is largely optional, and similar results can be achieved without it.","To evaluate Self-Instruct empirically, we run this framework on GPT3 Brown et al. (2020), which is a vanilla LM (§4).The iterative Self-Instruct process on this model leads to about 52k instructions, paired with about 82K instance inputs and target outputs.We observe that the resulting data provides a diverse range of creative tasks and over 50% of them have less than 0.3 ROUGE-L overlaps with the seed instructions (§4.2).On this resulting data, we build GPT3{}_{\textsc{Self-Inst}} by fine-tuning GPT3 (i.e., the same model used for generating the instructional data).We evaluate GPT3{}_{\textsc{Self-Inst}} in comparison to various other models on both typical NLP tasks included in Super-NaturalInstructions Wang et al. (2022), and a set of new instructions that are created for novel usage of instruction-following models (§5).The SuperNI results indicate thatGPT3{}_{\textsc{Self-Inst}} outperforms GPT3 (the original model) by a large margin (+33.1%) and nearly matches the performance of \text{InstructGPT}_{\text{001}}. Moreover, our human evaluation on the newly-created instruction set shows that GPT3{}_{\textsc{Self-Inst}} demonstrates a broad range of instruction following ability, outperforming models trained on other publicly available instruction datasets and leaving only a 5% gap behind \text{InstructGPT}_{\text{001}}. We evaluate \text{InstructGPT}_{\text{}} Ouyang et al. (2022),which is developed by OpenAI based on GPT3 to follow human instructions better and has been found by the community to have impressive zero-shot abilities.There are various generations of these models,where newer ones use more expansive data or algorithmic novelties101010https://beta.openai.com/docs/model-index-for-researchers.For our SuperNI experiments in §5.3, we only compare with their text-davinci-001 engine, because their newer engines are trained with the latest user data and are likely to already see the SuperNI evaluation set. For our human evaluation of these models on newly written instructions, we include their 001, 002 and 003 engines for completeness. We make the following observations from the results in Table 3.Self-Instructboosts the instruction-following ability of GPT3 by a large margin. The vanilla GPT3 model basically cannot follow human instructions at all. Upon manual analysis, we find that it usually generates irrelevant and repetitive text, and does not know when to stop generation.Compared with other models that are not specifically trained for SuperNI, GPT3{}_{\textsc{Self-Inst}} achieves better performance than T0 or the GPT3 finetuned on the T0 training set, which takes tremendous human labeling efforts. Notably, GPT3{}_{\textsc{Self-Inst}} also nearly matches the performance of \text{InstructGPT}_{\text{001}}, which is trained with private user data and human-annotated labels. Figure 5 provides the performance of GPT3 model and its instruction-tuned counterparts on this newly written instruction set. As anticipated, the vanilla GPT3 language model is largely unable to respond to instructions, and all instruction-tuned models demonstrate comparatively higher performance,Nonetheless, GPT3{}_{\textsc{Self-Inst}} (i.e., GPT3 model fine-tuned with Self-Instruct) outperforms those counterparts trained on T0 or SuperNI by a large margin, demonstrating the value of the generated data despite the noise.Compared with \text{InstructGPT}_{\text{001}} (c.f. footnote 1), GPT3{}_{\textsc{Self-Inst}} is quite close in the performance—if we count acceptable response with minor imperfections (Rating-3) as valid, GPT3{}_{\textsc{Self-Inst}} is only 5% behind \text{InstructGPT}_{\text{001}}. Lastly, our evaluation confirms the impressive instruction-following ability of \text{InstructGPT}_{\text{002}} & \text{InstructGPT}_{\text{003}} models. Although there are many factors behind this success, we conjecture that future work can largely benefit from improving the quality of our generated data by using human annotators or training a reward model to select better generations, similar to the algorithm used in Ouyang et al. (2022). A series of works have found evidence that vanilla language models can be effective at following general language instructions if tuned with annotated “instructional” data – datasets containing language instructional commands and their desired outcome based on human judgement Weller et al. (2020); Mishra et al. (2022); Wang et al. (2022); Wei et al. (2022); Sanh et al. (2022); Ouyang et al. (2022); Parmar et al. (2022); Scialom et al. (2022); Chung et al. (2022); Luo et al. (2022); Puri et al. (2022); Yin et al. (2022); Chakrabarty et al. (2022); Lin et al. (2022); Gupta et al. (2022); Muennighoff et al. (2022).Additionally, they show a direct correlation between the size and diversity of the “instructional” data and the generalizability of resulting models to unseen tasks.Since these developments depend on human annotated “instructional” data, this poses a bottleneck for progress toward more generalizable models(for example see Fig. 5a in Wang et al., 2022).Our work aims to tackle this bottleneck by reducing the dependence on human annotators. (H_{1})Human feedback is a necessary and indispensable aspect of instruction-tuning as LMs need to learn about issues that were not quite learned during pre-training.(H_{2})Human feedback is an optional aspect of instruction-tuning as LMs are already quite familiar with instructions from their pre-training. Observing the human feedback is merely a lightweight process for aligning their pre-training distribution/objective which might be replaceable with a different process.While the reality probably lies somewhere in between these two extremes, we conjecturethat it is closer to H_{2}, particularly for larger models.This intuition, that LMs already know much about language instructions, is a key motivation for Self-Instruct and is also supported by its empirical success. We introduce Self-Instruct, a task-agnostic method to improve the instruction-following capabilities of language models via its own generation of instruction data (instruction, input, and output samples) and bootstrapping with it. Our method conducts instruction-tuning of the original model on the pruned subset of generated samples. On experimenting with vanilla GPT3, we observe a 33% absolute improvement over the original model on Super-NaturalInstructions. This performance is on par with \text{InstructGPT}_{\text{001}}, which is trained with private user data and expensive human annotations. Furthermore, we curate a set of expert-written instructions for novel tasks. Human evaluation on this set shows that tuning GPT3 with Self-Instruct outperforms using existing public instruction datasets by a large margin, leaving only a 5% absolute gap behind \text{InstructGPT}_{\text{001}}. We hope Self-Instruct can serve as the first step to align pretrained language models to follow human instructions, and future work can build on top of this data to improve instruction-following models. Additionally, despite the remarkable performance of models like \text{InstructGPT}_{\text{}} Ouyang et al. (2022), their construction process remains quite opaque.In particular, the role of data has remained understudied due to limited transparency and data released by major corporate entities behind these key models.Addressing such challenges necessitates the creation of a large-scale, public dataset covering a broad range of tasks."
"What is the ""verb-noun structure"" and what does it show?","The ""verb-noun structure"" refers to the combination of a verb and its direct noun object in a sentence, and the analysis of this structure in the generated instructions shows the diversity of intents and textual formats in the dataset","The ""verb-noun structure"" of a sentence is created by identifying the primary verb (action word) in a sentence and identify the corresponding noun that action is being performed on. The authors use this structure to identify what kinds of tasks (i.e. verbs/action words) are used along with specific kinds of nouns.","To study what types of instructions are generated and how diverse they are, we identify the verb-noun structure in the generated instructions. We use the Berkeley Neural Parser666https://parser.kitaev.io/ (Kitaev and Klein, 2018; Kitaev et al., 2019) to parse the instructions, and then extract the verb that is closest to the root of the parse tree as well as its first direct noun object. 26,559 out of the 52,445 instructions contain such structure; other instructions usually contain more complex clauses (e.g., “Classify whether this tweet contains political content or not.”) or are framed as questions (e.g., “Which of these statements are true?”).We plot the top 20 most common root verbs and their top 4direct noun objects in Figure 4, which accounts for 14% of the entire set. Overall, we see quite diverse intents and textual formats in these instructions."
What is the motivation behind learning disentangled representations of data ?,"To achieve interpretability, particularly decomposability of latent representations, allowing for intuitive explanations",The motivation behind learning disentangled representations of data is a desire to achieve interpretability particularly the decomposability of latent representations to admit intuitive explanations. Another motivation of learning disentangled representations is to generalize framework of decomposition.,"An oft-stated motivation for learning disentangled representations of data with deep generative models is a desire to achieve interpretability [5, 10]—particularly the decomposability [see §3.2.1 in 33] of latent representations to admit intuitive explanations.Most work has focused on capturing purely independent factors of variation [10, 7, 16, 25, 4, 57, 3, 8, 17, 15, 59], typically evaluating this using purpose-built, synthetic data [15, 17, 25], whose generative factors are independent by construction. In this work, we explored and analysed the fundamental characteristics of learning disentangled representations, and showed how these can be generalised to a more general framework of decomposition [33].We characterised the learning of decomposed latent representation with vaes in terms of the control of two factors:i) overlap in the latent space between encodings of different datapoints, andii) regularisation of the aggregate encoding distribution to the given prior, which encodes the structure one would wish for the latent space to have."
What is the aim of using VAEs ?,"To achieve disentanglement in the latent representations of data, by fulfilling two factors: appropriate level of overlap in the latent space and conformity to a desired structure represented through the prior",The aim to use VAEs is to explore their decomposition capability to fulfill latent encoding of overlapping data and aggregate encoding of this data conforming to desired structure. The approaches that explore disentanglement in the context of  VAEs aims to achieve independence between the dimensions of the aggregate encoding.,"Of particular relevance to this work are approaches that explore disentanglement in the context of vaes [17, 3, 51, 25, 8, 16].Here one aims to achieve independence between the dimensions of the aggregate encoding, typically defined asq_{\phi}(\bm{z})\triangleq\operatorname{{}\mathbb{E}}_{p_{\mathcal{D}}(\bm{x})}\left[q(\bm{z}|\bm{x})\right]\approx\frac{1}{n}\sum_{i}^{n}q(\bm{z}|\bm{x}_{i}).The significance of q_{\phi}(\bm{z}) is that it is the marginal distribution induced on the latents by sampling a datapoint and then using the encoder to sample an encoding given that datapoint. It can thus informally be thought of as the pushforward distribution for “sampling” representations in the latent space. We characterise the decomposition of latent spaces in vaes to be the fulfilment of two factors (as shown in Figure 1):a.An “appropriate” level of overlap in the latent space—ensuring that the range of latent values capable of encoding a particular datapoint is neither too small, nor too large.This is, in general, dictated by the level of stochasticity in the encoder: the noisier the encoding process is, the higher the number of datapoints which can plausibly give rise to a particular encoding.b.The aggregate encoding q_{{\phi}}\left(\bm{z}\right) matching the prior p\left(\bm{z}\right), where the latter expresses the desired dependency structure between latents. We posit a generalisation of disentanglement in vaes—decomposing their latent representations—that can help avoid such pitfalls.We characterise decomposition in vaes as the fulfilment of two factors:a) the latent encodings of data having an appropriate level of overlap, andb) the aggregate encoding of data conforming to a desired structure, represented through the prior.We emphasize that neither of these factors is sufficient in isolation: withoutan appropriate level of overlap, encodings can degrade to a lookup tablewhere the latents convey little information about data, and without the aggregate encoding of data following a desired structure, the encodings do not decompose as desired."
